library,folder,tracks,artist_count,albumartist_count,album_count,date_count,candidate_reason,quality_score,issue_count,flags
CLASSICAL,/data/Music/CLASSICAL/Mozart/Piano Sonata #10 in Cmajor,2,1,0,0,1,missing_album_tag,58,6,missing_albumartist;missing_album_tag
CLASSICAL,/data/Music/CLASSICAL/Schubert/Various,1,1,1,0,1,missing_album_tag,74,2,missing_album_tag
CONTEMPORARY,/data/Music/CONTEMPORARY/3ala/Unknown Album,2,1,0,0,0,unknown_album_folder;missing_album_tag,21,8,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/Unknown Album,23,1,0,0,0,unknown_album_folder;missing_album_tag,13,92,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Air/Unknown Album,7,2,1,0,1,unknown_album_folder;missing_album_tag,26,20,multiple_artists;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Alanis Morissette/Unknown Album,7,3,0,0,2,unknown_album_folder;missing_album_tag,6,23,multiple_artists;missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Amy MacDonald/Unknown Album,4,1,0,0,0,unknown_album_folder;missing_album_tag,13,16,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Amy Winehouse/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,25,4,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Annie Lennox/Unknown Album,1,1,0,0,1,unknown_album_folder;missing_album_tag,32,2,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Ayo/Unknown Album,5,1,0,0,0,unknown_album_folder;missing_album_tag,13,24,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Bangles/Unknown Album,1,1,0,0,0,unknown_album_folder;missing_album_tag,25,4,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/BB King/Unknown Album,3,2,0,0,1,unknown_album_folder;missing_album_tag,21,9,multiple_artists;missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Beach Boys/Unknown Album,12,1,0,0,6,unknown_album_folder;missing_album_tag,10,26,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Beyonce/Unknown Album,9,7,0,0,1,unknown_album_folder;missing_album_tag,14,32,multiple_artists;missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Billie Holiday/Unknown Album,5,2,0,0,1,unknown_album_folder;missing_album_tag,14,18,multiple_artists;missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Billie Myers/Unknown Album,2,1,0,0,1,unknown_album_folder;missing_album_tag,28,6,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Black Eyed Peas/Unknown Album,8,3,0,0,1,unknown_album_folder;missing_album_tag,14,26,multiple_artists;missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Unknown Album,1,1,0,0,1,unknown_album_folder;missing_album_tag,31,3,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Dylan/Unknown Album,15,1,0,0,3,unknown_album_folder;missing_album_tag,10,53,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Marley & The Wailers/Unknown Album,15,3,0,0,2,unknown_album_folder;missing_album_tag,6,55,multiple_artists;missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Seger & The Silver Bullet Band/Live Bullet,1,0,0,0,0,missing_album_tag,23,6,missing_artist;missing_albumartist;missing_album_tag;missing_date
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Seger System/Unknown Album,1,1,0,0,1,unknown_album_folder;missing_album_tag,32,2,missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Sinclair/Unknown Album,9,4,0,0,1,unknown_album_folder;missing_album_tag,14,35,multiple_artists;missing_albumartist;missing_album_tag;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Bon Jovi/Unknown Album,11,1,0,0,3,unknown_album_folder;missing_album_tag,10,30,missing_albumartist;missing_album_tag;multiple_dates;unknown_album_folder
CONTEMPORARY,/data/Music/CONTEMPORARY/Bonnie Tyler/Unknown Album,4,1,0,0,0,unknown_album_folder;missing_album_tag,14,15,missing_albumartist;missing_album_tag;missing_date;unknown_album_folder
