library,folder,tracks,artist_count,albumartist_count,album_count,date_count,candidate_reason,existing_albumartist_state,quality_score,flags
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Cantatas,1219,15,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Harpsichord Concertos BWV 1052 - 1058, 1060 - 1065",39,2,2,2,1,multiple_distinct_track_artists,multiple,73,multiple_artists;multiple_albumartists;multiple_album_tags
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Magnificat in D major, BWV 243, Chorales",29,2,2,1,1,multiple_distinct_track_artists,multiple,88,multiple_artists;multiple_albumartists
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Secular Cantatas,175,14,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Tilge, Höchster, Meine Sünden (Psalm 51), BWV 1083",17,3,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Triple Concerto BWV 1044, Concertos for Oboe D'Amore BWV 1055, Three Violins BWV 1064",9,3,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Violin Sonatas, Trio Sonatas",15,3,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,"/data/Music/CLASSICAL/Bach/Bach - Christmas Oratorio, St Matthew Passion, St John Passion, Mass in B Minor - Gardiner",200,4,4,4,4,multiple_distinct_track_artists,multiple,65,multiple_artists;multiple_albumartists;multiple_album_tags;multiple_dates
CLASSICAL,/data/Music/CLASSICAL/Bach/Henrik Behrens -- Church Organ,2,2,1,1,1,multiple_distinct_track_artists,single,95,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Bach/Various,12,2,2,4,2,multiple_distinct_track_artists,multiple,51,multiple_artists;multiple_albumartists;multiple_album_tags;multiple_dates
CLASSICAL,"/data/Music/CLASSICAL/Beethoven - Complete/Canons, Epigrams and Jokes",72,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Chamber Music for Flute,35,4,4,2,1,multiple_distinct_track_artists,multiple,73,multiple_artists;multiple_albumartists;multiple_album_tags
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Dances,93,6,1,2,1,multiple_distinct_track_artists,single,81,multiple_artists;multiple_album_tags
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Der Glorreiche Augenblick,30,3,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Die Geschopfe des Prometheus,19,2,1,1,1,multiple_distinct_track_artists,single,96,multiple_artists
CLASSICAL,/data/Music/CLASSICAL/Beethoven - Complete/Irish Songs WoO 152 & 153 selection & 154,34,2,2,2,1,multiple_distinct_track_artists,multiple,73,multiple_artists;multiple_albumartists;multiple_album_tags
