library,folder,tracks,artist_count,albumartist_count,album_count,date_count,formats
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Ascension Oratorio BWV11, Cantate BWV82a",17,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Brandenburg Concertos No. 1 - 6,19,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Cantatas,1219,15,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Cello Suites,36,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Chorales,288,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Chorales BWV 730-733, 735-737, Preludes & Fugues BWV 531 & 532, Concerto BWV 592",16,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Chorales Preludes BWV 694-699, 701-705, Preludes & Fugues BWV 536 & 539, Concerto BWV 593",19,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Concerto Transcriptions,55,1,1,1,2,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Die Kunst der Fuge,23,1,1,2,2,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Easter Oratorio,12,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/English Suites,52,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Flute Sonatas, Ein Musikalisches Opfer",43,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/French Suites,40,1,1,1,2,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Goldberg Variations,32,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Harpsichord Concertos BWV 1052 - 1058, 1060 - 1065",39,2,2,2,1,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Inventions & Sinfonias,45,1,1,1,1,flac
CLASSICAL,"/data/Music/CLASSICAL/Bach - Complete/Italian Concerto, French Overture, Chromatic Fantasy & Fugue",13,1,1,1,1,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Keyboard Partitas,40,1,1,1,2,flac
CLASSICAL,/data/Music/CLASSICAL/Bach - Complete/Keyboard Works 1700-1710,29,1,1,1,2,flac
