id,album_id,library,folder,action,proposed_value,confidence,risk,reason,approval
ACT-000001,ALB-F73342DA,CLASSICAL,/data/Music/CLASSICAL/Holst - The Planets - Egdon Heath,ADD_ALBUMARTIST,Andrew Davis,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000002,ALB-3967DE3F,CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/1985,ADD_ALBUMARTIST,A-Ha,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000003,ALB-40A9DAF1,CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/Billboard Top 100 of 1985,ADD_ALBUMARTIST,A-ha,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000004,ALB-4F208D6E,CONTEMPORARY,/data/Music/CONTEMPORARY/Aaron Goldberg/Worlds,ADD_ALBUMARTIST,Aaron Goldberg,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000005,ALB-14058C61,CONTEMPORARY,/data/Music/CONTEMPORARY/Adam & The Ants/1980,ADD_ALBUMARTIST,Adam & The Ants,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000006,ALB-0D42FAD1,CONTEMPORARY,/data/Music/CONTEMPORARY/Adam & The Ants/1981,ADD_ALBUMARTIST,Adam & The Ants,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000007,ALB-0DFD3A7F,CONTEMPORARY,/data/Music/CONTEMPORARY/Adam Ant/1982,ADD_ALBUMARTIST,Adam Ant,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000008,ALB-EA384A58,CONTEMPORARY,/data/Music/CONTEMPORARY/Adam Ant/1983,ADD_ALBUMARTIST,Adam Ant,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000009,ALB-9364174C,CONTEMPORARY,/data/Music/CONTEMPORARY/Adam Ant/Billboard Top 100 of 1983,ADD_ALBUMARTIST,Adam Ant,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000010,ALB-27B97B25,CONTEMPORARY,/data/Music/CONTEMPORARY/Air/10 Things I Hate About You,ADD_ALBUMARTIST,Air,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000011,ALB-333DB42A,CONTEMPORARY,/data/Music/CONTEMPORARY/Air/Bar Culture - The Essential P,ADD_ALBUMARTIST,Air,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
ACT-000012,ALB-AAF74680,CONTEMPORARY,/data/Music/CONTEMPORARY/Air/French Electro Connection,ADD_ALBUMARTIST,Air,HIGH,LOW,Single distinct track artist and missing AlbumArtist,PENDING
