  102 tracks |   2 artists | /data/Music/CONTEMPORARY/Michael Jackson/Unknown Album
   84 tracks |  48 artists | /data/Music/CONTEMPORARY/Compilations/The Great Big Scottish Songbook
   78 tracks |   6 artists | /data/Music/CONTEMPORARY/Eric Clapton/Unknown Album
   60 tracks |  45 artists | /data/Music/CONTEMPORARY/Hed Kandi/Hed Kandi Beach House
   43 tracks |  42 artists | /data/Music/CONTEMPORARY/Café del Mar/Café Del Mar, Vol. 15
   43 tracks |  42 artists | /data/Music/CONTEMPORARY/Hed Kandi/Hed Kandi The Remix 2011
   36 tracks |   3 artists | /data/Music/CONTEMPORARY/Nightmares On Wax/in a space outta sound
   35 tracks |   2 artists | /data/Music/CONTEMPORARY/Red Hot Chili Peppers/Unknown Album
   34 tracks |   2 artists | /data/Music/CONTEMPORARY/Daft Punk/Homework
   32 tracks |  32 artists | /data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00
   32 tracks |  32 artists | /data/Music/CONTEMPORARY/Hed Kandi/Hed Kandi_ Winter Chill 06.04
   30 tracks |  30 artists | /data/Music/CONTEMPORARY/Cafe Ibiza
   30 tracks |  23 artists | /data/Music/CONTEMPORARY/Chillin In Mykonos Vol.6
   30 tracks |  30 artists | /data/Music/CONTEMPORARY/Chillout Forever
   30 tracks |  22 artists | /data/Music/CONTEMPORARY/Chillout Ibiza
   30 tracks |  30 artists | /data/Music/CONTEMPORARY/Nu Cool HK 55
   29 tracks |   2 artists | /data/Music/CONTEMPORARY/De Phazz/Death By Chocolate
   28 tracks |  27 artists | /data/Music/CONTEMPORARY/Hed Kandi/Hed Kandi 59 Serve Chilled_ A Return To
   28 tracks |  27 artists | /data/Music/CONTEMPORARY/Volume 12
   27 tracks |  27 artists | /data/Music/CONTEMPORARY/Serve Chilled
   26 tracks |  26 artists | /data/Music/CONTEMPORARY/Nu Cool 2007
   26 tracks |   3 artists | /data/Music/CONTEMPORARY/Ray Charles/Unknown Album
   25 tracks |  25 artists | /data/Music/CONTEMPORARY/Compilations/Ultimate 80s
   25 tracks |   2 artists | /data/Music/CONTEMPORARY/Eminem/Unknown Album
   24 tracks |   4 artists | /data/Music/CONTEMPORARY/Morcheeba/Charango
   23 tracks |  23 artists | /data/Music/CONTEMPORARY/Disco Kandi, Vol. 4
   22 tracks |  22 artists | /data/Music/CONTEMPORARY/Beach House 04.05
   22 tracks |   2 artists | /data/Music/CONTEMPORARY/Bob Marley & The Wailers/Confrontation
   22 tracks |   2 artists | /data/Music/CONTEMPORARY/Bob Marley & The Wailers/Legend
   22 tracks |  22 artists | /data/Music/CONTEMPORARY/Disco Kandi 2
   22 tracks |   3 artists | /data/Music/CONTEMPORARY/Hungarian Dances
   21 tracks |   2 artists | /data/Music/CONTEMPORARY/Manu Chao/Clandestino
   21 tracks |   2 artists | /data/Music/CONTEMPORARY/St Germain/Tourist
   19 tracks |  19 artists | /data/Music/CONTEMPORARY/Chillout Sessions 8 [Disc 2]
   19 tracks |   2 artists | /data/Music/CONTEMPORARY/The Police/The Very Best of Sting & The Police
   18 tracks |   3 artists | /data/Music/CONTEMPORARY/Bob Marley & The Wailers/Survival
   18 tracks |   2 artists | /data/Music/CONTEMPORARY/Cake/Fashion Nugget
   18 tracks |   2 artists | /data/Music/CONTEMPORARY/Mika/Life In Cartoon Motion
   18 tracks |  18 artists | /data/Music/CONTEMPORARY/Million Sellers (The Fifties) Volume 03
   17 tracks |   2 artists | /data/Music/CONTEMPORARY/Beyonce/I Am...Sasha Fierce
   17 tracks |   2 artists | /data/Music/CONTEMPORARY/Café del Mar/Café Del Mar Volumen Seis
   17 tracks |  17 artists | /data/Music/CONTEMPORARY/Hôtel Costes/Hôtel Costes 11
