library,path,issue,value
CLASSICAL,/data/Music/CLASSICAL/Bach/Henrik Behrens -- Church Organ/Bach - Fantasia G-major.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Bach/Henrik Behrens -- Church Organ/Bach - Fugue d-minor.mp3,missing_tracknumber,
CLASSICAL,"/data/Music/CLASSICAL/Bach/Lute Music of the 18th Century - Konrad Junghänel/05 - Lute Partita in C minor, BWV 997 III. Sarabande.mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Bach/Lute Music of the 18th Century - Konrad Junghänel/06 - Lute Partita in C minor, BWV 997 IV. Gigue.mp3",missing_date,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/BACH - 2 Minuet.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/BACH - C Major.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/Bach - Air on a G String.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/Bach - Air on a G String.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/Bach - Choral - Nun kommt der Heiden Heiland.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/Bach - Choral - Nun kommt der Heiden Heiland.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/Bach - Fugue in F major - BWV 540.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/Bach - Fugue in F major - BWV 540.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/Bach - Herzlich tut mich verlangen - BWV 727.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/Bach - Herzlich tut mich verlangen - BWV 727.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/Bach - Prelude and Fugue in Bbma.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/Bach - Symphony in D major from Cantata No29.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/Bach - Symphony in D major from Cantata No29.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/Bach - Toccata in F major - BWV 540.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Bach/Various/Bach - Toccata in F major - BWV 540.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/Beethoven Favourites/Beethoven - Son. # 8 Mvt 1.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/Beethoven Favourites/Beethoven - symphony_no3_eroica.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/Beethoven Favourites/Beethoven - symphony_no_9__choral___be.mp3,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/Symphony #10 in E flat - LSO - Wyn Morris/London Symphony Orchestra conducted by Wyn Morris - Symphony No. 10 in E flat 1st Movement- Andante - Allegro - Andante.mp3,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/101 - Symphony No. 1 in C Major - Op 21.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/102 - Second movement Op 21.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/103 - Third movement Op 21.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/104 - Fourth movement Op 21.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/105 - Symphony No. 2 in D Major - Op 22.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/106 - Second movement Op 22.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/107 - Third movement Op 22.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/108 - Fourth movement Op 22.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/201 - Symphony No. 3 in E Flat Major - Op 55 'Eroica'.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/202 - Second movement - Op 55 'Eroica'.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/203 - Third movement - Op 55 'Eroica'.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/204 - Fourth movement - Op 55 'Eroica'.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/205 - Symphony No. 4 in B Flat Major - Op 60.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/206 - Second movement - Op 60.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/207 - Third movement - Op 60.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/208 - Fourth movement - Op 60.flac,missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/301 - Sonata No. 8 in C Minor, Op. 13 (Pathetique).flac",missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/302 - Second movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/303 - Third movement.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Beethoven/The Beethoven Treasury/304 - Fur Elise.flac,missing_date,
