library,path,issue,value
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-01 Too Drunk To Fuck.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-02 Hey You (Howdy Version).m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-03 Strong Man (For Real).m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-04 Lemon.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-05 Yunowhatthislifeez (Rnb Mix).m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-06 Confusion.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-07 Brothers On The Slide (The Ever.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-08 Shake.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-09 Sugar Sugar.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-10 Mistake.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-11 Impressed.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-12 Ain't Life Ironic.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-13 Elle (Louie Vega Remix).m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-14 Drifting.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-15 Back to Reality.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/1-16 La Ritournelle.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-01 Vacuum Jackers (Maurice Fulton.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-02 Pick It Up.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-03 Rock It.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-04 Motorbass Get Phunked Up.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-05 Energy.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-06 Connected.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-07 Never Be Alone (DJ Hell's Bavar.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-08 Massage.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-09 1994 [Siskid Remix].m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-10 Music In Jamaïca (Fafa Monteco.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-11 Mystery Guest.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-12 Deep For Wheel.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-13 Way We Have Chosen.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-14 Don't Be Late [Siskid Alternati.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-15 Eating Pussys.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/24 Hours In Paris 00_00 - 24_00/2-16 Be Yourself [Reworked By Lauren.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/07 Medley of Romance_ Sous le Ciel de Paris.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/07 Medley of Romance_ Sous le Ciel de Paris.mp3,missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/08 Medley of Romance_ Solamente Una Vez.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/08 Medley of Romance_ Solamente Una Vez.mp3,missing_date,
CONTEMPORARY,"/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/09 Medley of Romance_ Maria, Mari.mp3",missing_albumartist,
CONTEMPORARY,"/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/09 Medley of Romance_ Maria, Mari.mp3",missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/10 Medley of Romance_ Torero Quiero.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/10 Medley of Romance_ Torero Quiero.mp3,missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/11 Medley of Romance_ Parlami d'Amore Mariu.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/11 Medley of Romance_ Parlami d'Amore Mariu.mp3,missing_date,
CONTEMPORARY,"/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/12 Medley of Romance_ Tu, Ca'nun Chiange!.mp3",missing_albumartist,
CONTEMPORARY,"/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/12 Medley of Romance_ Tu, Ca'nun Chiange!.mp3",missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/13 Medley of Romance_.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/13 Medley of Romance_.mp3,missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/14 Medley of Romance_ Te Voglio Tanto Bene.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/14 Medley of Romance_ Te Voglio Tanto Bene.mp3,missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/18 Because.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/18 Because.mp3,missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/19 O Sole Mio.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/19 O Sole Mio.mp3,missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/20 Medley of the World_ O Surdato 'Nnamurato.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/20 Medley of the World_ O Surdato 'Nnamurato.mp3,missing_date,
CONTEMPORARY,"/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/21 Medley of the World_ Ay, Ay, Ay.mp3",missing_albumartist,
CONTEMPORARY,"/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/21 Medley of the World_ Ay, Ay, Ay.mp3",missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/22 Lolita.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/22 Lolita.mp3,missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/24 Dicitencello Vuie.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/24 Dicitencello Vuie.mp3,missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/25 Core 'Ngrato.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/25 Core 'Ngrato.mp3,missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/26 You'll Never Walk Alone.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3 Tenors/Paris 1998/26 You'll Never Walk Alone.mp3,missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/3ala/Unknown Album/bali.mp3,missing_album,
CONTEMPORARY,/data/Music/CONTEMPORARY/3ala/Unknown Album/bali.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3ala/Unknown Album/bali.mp3,missing_tracknumber,
CONTEMPORARY,/data/Music/CONTEMPORARY/3ala/Unknown Album/bali.mp3,missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/3ala/Unknown Album/baly.mp3,missing_album,
CONTEMPORARY,/data/Music/CONTEMPORARY/3ala/Unknown Album/baly.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/3ala/Unknown Album/baly.mp3,missing_tracknumber,
CONTEMPORARY,/data/Music/CONTEMPORARY/3ala/Unknown Album/baly.mp3,missing_date,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/1985/01 The Sun Always Shines On TV.MP3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/1985/02 Take On Me.MP3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/01 Take on Me.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/02 The Sun Always Shines on T.V..m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/03 Train of Thought.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/04 Hunting High and Low.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/05 I've Been Losing You.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/06 Cry Wolf.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/07 Manhattan Skyline.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/08 The Living Daylights.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/09 Stay on These Roads.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/10 Touchy!.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/11 Crying in the Rain.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/12 Move to Memphis.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/13 Dark Is the Night.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/14 Shapes That Go Together.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/15 Summer Moved On.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/16 Minor Earth Major Sky.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/17 Velvet.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/18 Forever Not Yours.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/A-Ha/19 Lifelines.m4a,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/Billboard Top 100 of 1985/10 Take on Me.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/The Definitive Singles Collectio 1984-2004/03 Train Of Thought.mp3,missing_albumartist,
CONTEMPORARY,/data/Music/CONTEMPORARY/A-Ha/The Definitive Singles Collectio 1984-2004/04 Hunting High And Low.mp3,missing_albumartist,
