library,path,issue,value
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Parklife/._04 Parklife 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Parklife/._04 Parklife.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Parklife/._06 Badhead 1.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Parklife/._06 Badhead.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Parklife/._07 The Debt Collector.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Parklife/._08 Far Out.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Parklife/._09 To The End.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Parklife/._10 London Loves.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Parklife/._11 Trouble In The Message Centre.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Parklife/._12 Clover Over Dover.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Parklife/._13 Magic America.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Parklife/._14 Jubilee.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Parklife/._15 This Is A Low.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Blur/Parklife/._16 Lot 105.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Dylan/Oh Mercy/._01 Political World.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Dylan/Oh Mercy/._02 Where Teardrops Fall.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Dylan/Oh Mercy/._03 Everything Is Broken.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Dylan/Oh Mercy/._04 Ring Them Bells.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Dylan/Oh Mercy/._05 Man In The Long Black Coat.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Dylan/Oh Mercy/._06 Most Of The Time.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Dylan/Oh Mercy/._07 What Good Am I_.mp3,metadata_error,can't sync to MPEG frame
CONTEMPORARY,/data/Music/CONTEMPORARY/Bob Dylan/Oh Mercy/._08 Disease Of Conceit.mp3,metadata_error,can't sync to MPEG frame
